Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var9,Var11,Var12,Var13,Var14,Var15,Var16
MSG,3,1,1,06A2B7,1,2025/08/08 03:55:46.886,2025/08/08 03:55:46.908,29300,41.97826,-71.68049,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:55:47.947,2025/08/08 03:55:47.997,29300,41.97946,-71.6773,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:05.197,2025/08/08 03:56:05.205,29475,41.99812,-71.62649,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:06.077,2025/08/08 03:56:06.129,29475,41.99908,-71.62381,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:06.907,2025/08/08 03:56:06.949,29475,41.99995,-71.62143,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:07.967,2025/08/08 03:56:07.989,29475,42.00115,-71.61815,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:08.937,2025/08/08 03:56:08.970,29475,42.00215,-71.61544,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:09.937,2025/08/08 03:56:09.955,29500,42.00334,-71.6122,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:10.967,2025/08/08 03:56:10.993,29500,42.00444,-71.6092,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:11.907,2025/08/08 03:56:11.922,29500,42.00543,-71.60652,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:12.917,2025/08/08 03:56:12.956,29500,42.00664,-71.6032,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:13.838,2025/08/08 03:56:13.884,29500,42.00764,-71.60052,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:14.987,2025/08/08 03:56:15.031,29500,42.00883,-71.59726,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:15.808,2025/08/08 03:56:15.851,29500,42.00981,-71.59452,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:16.937,2025/08/08 03:56:16.947,29550,42.01103,-71.59122,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:17.817,2025/08/08 03:56:17.870,29525,42.0119,-71.58885,0,0,0
MSG,3,1,1,06A2B7,1,2025/08/08 03:56:20.837,2025/08/08 03:56:20.876,29575,42.01529,-71.57955,0,0,0
